Keyword;Avg. monthly searches;Cambio en los últimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);In account?;Searches: Nov 2023;Searches: Dec 2023;Searches: Jan 2024;Searches: Feb 2024;Searches: Mar 2024;Searches: Apr 2024;Searches: May 2024;Searches: Jun 2024;Searches: Jul 2024;Searches: Aug 2024;Searches: Sep 2024;Searches: Oct 2024;Searches: Nov 2024
abogados de trabajo;110;56%;0%;Alto;71;$335,99;1208,84;;140;110;110;140;140;110;110;90;90;140;90;140;140
abogados de trabajadores;110;56%;0%;Alto;71;$335,99;1208,84;;140;110;110;140;140;110;110;90;90;140;90;140;140
abogado de trabajo;110;56%;0%;Alto;71;$335,99;1208,84;;140;110;110;140;140;110;110;90;90;140;90;140;140
abogado de seguro;110;-36%;0%;Alto;81;$241,07;1270,38;;90;90;70;90;110;110;110;110;90;110;140;110;90
seguro y riesgo;90;-44%;-55%;Bajo;19;$225,96;989,12;;110;70;90;90;110;90;90;90;70;90;90;90;50
recalificación laboral indemnización;90;29%;-18%;Medio;51;$54,53;183,43;;110;70;70;90;110;90;70;70;90;70;70;50;90
puntos de incapacidad art;90;-22%;-36%;Medio;50;$40,56;78,49;;110;50;90;140;140;110;140;70;70;110;90;140;70
preaviso del trabajador;90;0%;-18%;Bajo;4;;;;110;110;90;110;90;110;70;70;70;90;90;90;90
piso minimo indemnizacion art;90;40%;40%;Bajo;30;$3,64;87,35;;50;50;30;70;70;90;110;70;70;90;50;90;70
pericia médica art;90;-18%;-36%;Bajo;8;$102,11;121,28;;140;110;30;90;110;110;90;110;110;140;110;90;90
marin pistachia calculadora indemnizacion;90;0%;0%;Bajo;17;$59,16;2042,14;;70;70;30;50;40;50;70;70;70;70;70;70;70
liquidacion despido sin causa;90;0%;57%;Medio;35;$71,47;224,64;;70;70;90;140;110;110;110;110;110;110;110;90;110
licencia por art;90;0%;0%;Bajo;20;$51,76;196;;90;90;70;90;90;110;90;70;90;90;90;110;90
ley de riesgo de trabajo argentina;90;29%;0%;Bajo;14;$40,46;2042,14;;90;50;30;50;50;90;90;90;50;90;70;110;90
ley de accidentes de trabajo argentina;90;0%;-86%;Bajo;32;$56,94;212,96;;210;70;40;40;50;70;70;50;30;40;30;30;30
indemnización por despido injustificado;90;0%;0%;Medio;46;$40,62;249,23;;70;90;90;70;90;90;90;70;50;50;70;70;70
in itinere art;90;-36%;-22%;Medio;41;$31,58;121,4;;90;30;10;40;70;70;70;70;90;140;110;70;70
estudio juridico oficina;90;-20%;-20%;Bajo;5;;;;50;90;90;90;90;110;70;90;70;50;50;30;40
estudio jurídico capital federal;90;0%;-29%;Medio;52;$192,64;952,89;;70;90;90;50;70;90;50;70;70;260;50;40;50
estudio juridico argentina;90;0%;57%;Alto;72;$145,92;390,08;;70;90;110;110;70;210;110;110;90;110;110;70;110
estudio jurídico abogados;90;-35%;57%;Bajo;25;$159,72;555,99;;70;70;110;70;140;170;170;140;140;170;170;170;110
estudio juridico abogado;90;-35%;57%;Bajo;25;$159,72;555,99;;70;70;110;70;140;170;170;140;140;170;170;170;110
ejemplo de accidente laboral;90;0%;-22%;Bajo;20;$25,63;131,35;;90;30;10;10;140;170;170;110;50;90;70;50;70
disco en la columna vertebral;90;29%;0%;Bajo;2;;;;90;70;50;50;90;90;90;90;90;70;70;50;90
despido sin preaviso;90;0%;-22%;Medio;54;$85,05;342;;90;90;90;90;110;110;90;90;110;90;70;90;70
denuncia de accidente de trabajo;90;-18%;-18%;Bajo;30;$64,51;326,66;;110;50;50;70;90;110;90;90;90;90;110;140;90
denuncia art por enfermedad profesional;90;29%;-36%;Medio;62;$74,07;354,74;;140;70;70;90;50;90;90;70;70;90;70;90;90
denuncia accidente de trabajo;90;-18%;-18%;Bajo;30;$64,51;326,66;;110;50;50;70;90;110;90;90;90;90;110;140;90
coberturas de seguro;90;0%;22%;Medio;57;$224,71;1149,1;;90;70;90;90;110;140;140;90;90;110;110;90;110
calcular mi indemnización;90;29%;-18%;Medio;56;$67,97;169,28;;110;110;90;110;90;90;90;70;90;70;70;70;90
calculadora ingreso base mensual;90;0%;-55%;Bajo;12;$31,22;49,44;;110;70;50;90;90;110;90;70;40;50;50;50;50
calculadora indemnizacion argentina;90;0%;0%;Medio;53;$57,29;155,25;;90;90;90;110;140;140;140;110;70;90;90;110;90
calculadora incapacidad;90;-44%;-44%;Bajo;22;$36,87;103,96;;90;50;70;70;70;90;90;70;50;70;90;70;50
calculadora accidente de transito;90;-21%;0%;Bajo;29;$69,04;510,53;;110;90;70;70;70;110;110;70;50;90;140;140;110
art riesgo de trabajo;90;0%;-22%;Medio;54;$90,15;601,37;;90;90;70;90;110;110;90;110;110;90;70;90;70
alta médica art;90;-18%;29%;Bajo;17;$49,87;282,94;;70;50;70;90;90;70;110;70;70;110;110;110;90
alta medica art;90;-18%;29%;Bajo;17;$49,87;282,94;;70;50;70;90;90;70;110;70;70;110;110;110;90
accidentes de trabajo y enfermedades profesionales;90;22%;-21%;Medio;39;$65,69;211,26;;140;50;50;70;70;140;140;90;70;90;90;110;110
accidente de trabajo in itinere;90;-22%;-36%;Bajo;27;$66,49;203,72;;110;90;40;70;90;140;90;110;90;70;90;70;70
abogados de la provincia de buenos aires;90;0%;0%;Medio;52;$129,47;563,39;;90;90;30;70;90;90;90;70;70;90;90;90;90
abogado laboral lomas de zamora;90;29%;-47%;Medio;61;$418,64;978,71;;170;140;110;140;110;90;90;90;70;90;70;70;90
abogado estudios;90;-50%;-93%;Medio;58;$141,16;830,99;;140;40;30;140;210;210;30;30;30;30;20;30;10
abogado estudio juridico;90;-22%;-59%;Bajo;25;$194,00;399,93;;170;90;90;170;170;210;140;110;90;90;90;90;70
abogado empresa;90;0%;-22%;Medio;64;$184,05;1589,04;;90;50;90;90;90;110;110;90;70;140;70;90;70
trabajo legales;70;-50%;0%;Bajo;14;$44,65;285,9;;70;40;40;70;140;70;110;50;70;210;140;110;70
abogados accidentes laborales;70;29%;80%;Alto;71;$268,00;2038,43;Y;50;40;70;70;90;110;50;70;110;50;70;110;90
indemnización por accidente de trabajo;70;-44%;-29%;Medio;64;$66,09;520,86;Y;70;70;50;70;40;50;90;70;50;70;90;50;50
texto despido sin causa;70;25%;0%;Bajo;26;$83,94;203,23;;50;70;70;70;70;90;70;50;70;70;40;40;50
calculadora de indemnización por accidente;70;75%;0%;Medio;52;$42,05;295,32;Y;70;50;70;90;90;50;90;70;70;70;40;50;70
calculadora art indemnizacion;70;0%;-71%;Medio;56;$54,97;175,99;Y;140;90;110;70;90;90;140;50;30;70;40;70;40
ripte como se calcula;70;-50%;40%;Bajo;14;$40,51;66,79;;50;40;70;50;70;70;90;90;110;260;140;110;70
reclamo laboral;70;0%;-22%;Medio;55;$110,92;585,14;;90;50;70;50;70;110;110;140;50;70;70;70;70
quienes pueden iniciar una sucesion;70;0%;-55%;Bajo;32;$22,02;220,34;;110;50;50;70;70;90;90;70;70;70;50;50;50
perone quebrado;70;0%;29%;Bajo;2;;;;70;110;140;70;70;90;110;110;110;70;90;110;90
lumbalgia art;70;29%;29%;Bajo;21;$55,07;109,04;;70;50;50;70;50;50;90;20;50;70;70;50;90
ley art argentina;70;133%;40%;Bajo;19;$28,69;219,64;;50;30;30;40;50;40;40;50;50;50;30;50;70
la art te paga por accidente laboral;70;21%;143%;Alto;67;$57,27;279,2;;70;40;70;30;50;90;50;70;110;140;140;170;170
la art no me paga el sueldo;70;27%;180%;Medio;50;$53,94;257,62;;50;40;10;50;30;30;20;40;90;110;110;140;140
indemnización por enfermedad profesional;70;-43%;-56%;Alto;68;$65,31;276,95;;90;70;70;50;50;70;70;90;50;70;70;40;40
indemnización por accidente de tránsito argentina;70;-33%;-92%;Alto;83;$204,21;533,06;;260;170;70;170;210;70;110;50;20;30;30;30;20
indemnización por accidente;70;-43%;-20%;Medio;64;$49,58;479,51;;50;50;70;70;50;50;90;50;70;70;70;70;40
herniadedisco;70;-50%;-91%;Bajo;17;;;;110;20;20;10;20;10;10;10;20;20;20;10;10
hernia ciatica;70;-22%;0%;Bajo;11;$16,90;61,84;;70;70;90;50;50;70;50;90;110;70;90;70;70
felicitaciones abogados;70;267%;22%;Bajo;0;;;;90;210;0;30;50;30;50;70;90;110;30;70;110
estudio posca la plata;70;-18%;29%;Medio;44;$105,57;559,02;;70;50;40;50;70;90;90;70;140;140;110;140;90
estudio juridico accidentes de transito;70;67%;-29%;Medio;62;$420,66;2116,34;;70;70;90;70;90;50;50;70;70;70;30;50;50
enfermedad laboral art;70;0%;0%;Medio;62;$66,10;234,85;;70;70;50;40;70;70;70;70;70;90;70;70;70
ejemplo cálculo ingreso base mensual;70;-22%;-36%;Bajo;16;$35,56;53,06;;110;70;70;110;110;90;90;110;90;110;90;70;70
divergencia en la determinación de la incapacidad plazo;70;75%;40%;Bajo;16;$65,69;152,92;;50;40;70;90;90;70;50;50;40;40;40;70;70
despido sin causa y sin preaviso;70;100%;-78%;Medio;57;$30,84;285,9;;90;70;90;40;50;70;70;40;20;10;10;20;20
despido abogado;70;-40%;-57%;Medio;59;$305,66;1183,66;;70;40;40;10;50;210;320;110;50;20;50;70;30
derechos abogados;70;0%;-29%;Bajo;10;$114,20;320,43;;70;50;40;50;90;90;90;50;50;110;50;50;50
derecho del abogado;70;0%;-29%;Bajo;10;$114,20;320,43;;70;50;40;50;90;90;90;50;50;110;50;50;50
denuncia a la art;70;0%;-22%;Medio;48;$81,19;247,64;;90;70;50;90;70;50;70;70;70;70;70;70;70
calculo por indemnizacion;70;-29%;-44%;Medio;41;$46,07;141,96;;90;70;70;70;70;110;70;50;50;50;70;70;50
calcular indemnización por accidente de tránsito;70;40%;-22%;Medio;43;$104,98;494,32;;90;50;40;70;70;50;70;50;40;70;50;50;70
calcular indemnización por accidente;70;0%;0%;Medio;46;$40,77;330,79;;70;50;90;110;70;90;70;90;90;90;70;90;70
calcular indemnizacion accidente de transito;70;-22%;-22%;Medio;41;$128,16;516,76;;90;70;50;90;70;110;90;70;70;70;90;70;70
calcular indemnizacion accidente de trabajo;70;0%;29%;Medio;46;$41,10;284,22;;70;50;50;90;90;110;90;90;90;70;90;70;90
calculadora por indemnizacion;70;-29%;-44%;Medio;41;$46,07;141,96;;90;70;70;70;70;110;70;50;50;50;70;70;50
calculadora indemnizacion accidente laboral;70;-25%;-67%;Medio;57;$45,47;205,5;;90;50;30;70;70;70;70;70;50;40;40;50;30
calculadora de ripte;70;-18%;80%;Bajo;16;$14,88;33,11;;50;40;40;70;90;90;140;110;70;110;110;140;90
aseguradora de riesgo de trabajo ley;70;29%;-18%;Bajo;17;$117,29;836,16;;110;70;50;50;70;110;110;90;50;70;70;90;90
art incapacidad;70;0%;0%;Medio;54;$40,53;137,12;;70;50;50;70;50;50;50;40;50;90;70;70;70
accidente art;70;0%;0%;Medio;57;$71,84;395,93;;50;40;40;70;50;70;70;50;70;70;50;50;50
abombamiento cervical;70;0%;-55%;Bajo;8;;;;110;110;110;110;90;90;40;70;70;40;50;50;50
abogados para sucesiones;70;0%;-29%;Alto;89;$206,24;1477,69;;70;40;90;90;90;70;110;90;50;90;50;70;50
abogados online gratis argentina;70;40%;0%;Alto;81;$96,83;622,85;;70;70;90;110;90;90;90;70;50;70;50;50;70
abogados laborales zona norte;70;-44%;25%;Alto;83;$359,65;977,96;;40;70;70;90;50;110;90;90;90;90;90;70;50
abogados gratis en argentina;70;-40%;-57%;Alto;79;$100,73;449,27;;70;70;90;70;50;90;70;70;70;50;50;50;30
abogados gratis argentina;70;-40%;-57%;Alto;79;$100,73;449,27;;70;70;90;70;50;90;70;70;70;50;50;50;30
abogados especialistas en art;70;0%;0%;Alto;73;$230,27;1224,33;;70;50;50;70;50;50;50;40;50;40;70;50;70
abogados en derechos laborales;70;0%;-36%;Alto;78;$260,50;977,07;;110;70;70;110;90;70;70;50;50;70;70;50;70
abogados despidos;70;-40%;-57%;Medio;59;$305,66;1183,66;;70;40;40;10;50;210;320;110;50;20;50;70;30
abogados derechos laborales;70;0%;-36%;Alto;78;$260,50;977,07;;110;70;70;110;90;70;70;50;50;70;70;50;70
abogados de seguros de autos;70;0%;-29%;Alto;89;$340,55;1724,58;;70;70;110;140;70;90;90;70;50;50;50;50;50
abogados de buenos aires;70;0%;-55%;Medio;48;$142,89;380,26;;110;90;140;170;170;110;50;50;50;50;50;50;50
abogados accidentes transito;70;-82%;-33%;Alto;73;$299,24;4708,31;;30;140;90;50;170;40;30;20;90;90;110;30;20
abogado transito;70;29%;-18%;Medio;55;$517,95;2752,08;;110;50;50;110;90;70;90;70;90;70;70;90;90
abogado laboral zona sur;70;-25%;-73%;Alto;75;$306,32;1074,68;;110;70;70;40;110;90;50;70;40;50;40;50;30
abogado laboral whatsapp;70;-60%;-82%;Alto;95;$241,63;1109,75;;110;50;90;70;110;90;70;90;70;50;50;40;20
abogado laboral merlo;70;75%;40%;Medio;54;$297,98;868,87;;50;110;90;90;140;140;50;70;50;40;40;40;70
abogado laboral capital federal;70;-44%;67%;Medio;53;$299,92;1010,86;;30;70;110;70;50;50;50;50;30;70;90;50;50
abogado judicial;70;80%;29%;Medio;53;$167,65;661,29;;70;70;70;50;70;70;50;70;70;70;50;90;90
abogado derecho laboral;70;0%;-36%;Alto;78;$260,50;977,07;;110;70;70;110;90;70;70;50;50;70;70;50;70
abogado de siniestros;70;-20%;-64%;Alto;74;$451,56;3257,59;;110;70;70;90;90;70;70;50;70;70;50;70;40
abogado de empresa;70;0%;-22%;Alto;67;$380,37;1519,69;;90;50;50;50;90;70;70;90;70;90;70;70;70
abogados accidentes de trabajo;50;67%;67%;Medio;54;$398,26;2221,36;Y;30;50;90;40;40;70;70;50;30;40;30;30;50
tendinitis art;50;-29%;-29%;Medio;54;$50,01;204,21;;70;30;50;40;30;40;30;30;20;40;70;50;50
srt rechazo de siniestro;50;0%;-50%;Bajo;18;$34,20;147,84;;40;30;20;30;10;20;10;10;10;20;20;20;20
siniestro laboral;50;0%;0%;Medio;36;$66,86;357,08;;50;30;30;20;50;110;70;50;40;50;50;30;50
simulador de art;50;-43%;33%;Alto;74;$73,50;313,14;;30;40;50;40;70;40;50;30;30;70;70;50;40
simulador art;50;-20%;-20%;Medio;59;$66,21;176,41;;50;40;50;50;50;70;50;30;40;30;50;50;40
seguro de accidente de trabajo;50;-29%;0%;Alto;76;$498,25;1485,96;;50;20;30;40;40;30;40;50;50;50;70;70;50
art calculadora;50;-22%;0%;Medio;43;$39,72;123,85;Y;70;30;70;50;50;70;70;50;90;90;90;90;70
punto de incapacidad;50;0%;0%;Bajo;21;$34,02;88,24;;50;30;70;70;50;70;50;50;50;50;50;50;50
oficina abogados;50;-43%;33%;Bajo;16;$169,48;333,2;;30;70;70;70;50;70;70;40;50;70;70;50;40
muerte en el trabajo indemnizacion;50;0%;-44%;Bajo;19;$60,27;306,32;;90;40;20;30;40;40;70;50;20;40;50;50;50
modelo de denuncia de enfermedad profesional;50;0%;-43%;Bajo;16;$45,73;246,2;;70;30;30;40;40;70;30;40;40;50;40;50;40
mes de preaviso por despido;50;-75%;-86%;Bajo;11;;;;70;50;40;50;90;90;70;70;70;70;40;20;10
los mejores abogados de argentina;50;0%;0%;Alto;75;$79,71;337,48;;20;40;30;40;30;30;50;70;70;40;20;30;20
logos para estudio juridico;50;-57%;-40%;Medio;42;$58,34;114,43;;50;50;50;50;50;50;50;30;70;70;70;70;30
liquidacion accidente de trabajo;50;0%;-57%;Medio;45;$54,46;423,15;;70;50;30;90;70;50;70;50;30;40;30;40;30
ley de art argentina;50;0%;-25%;Bajo;14;$31,05;202,47;;40;30;20;20;20;30;30;20;20;30;30;50;30
la indemnización por despido;50;0%;-56%;Medio;55;$62,77;257,7;;90;90;70;70;70;70;70;70;40;40;40;50;40
l4 y l5 columna vertebral;50;-20%;-43%;Bajo;6;;;;70;40;40;40;70;90;50;40;40;40;50;50;40
iniciar sucesion;50;-71%;-60%;Alto;69;$61,15;272,26;;50;30;50;50;50;50;50;70;40;140;70;50;20
indemnizacion sin causa;50;100%;-81%;Medio;44;$58,59;217,79;;210;50;40;40;40;30;40;30;30;30;20;30;40
indemnización por tendinitis muñeca;50;-43%;-20%;Medio;50;$50,65;181,09;;50;30;50;70;70;50;70;50;40;90;70;50;40
indemnizacion por despido indirecto;50;33%;-43%;Medio;40;$46,98;202,32;;70;50;40;70;70;70;50;70;40;30;30;20;40
honorarios abogado sucesion;50;-40%;-40%;Medio;49;$45,35;310,43;;50;50;30;70;70;50;90;50;50;40;50;50;30
estudio juridico sucesiones;50;67%;-44%;Medio;55;$94,58;836,42;;90;70;20;90;20;40;70;20;30;50;30;30;50
estudio de abogacía;50;0%;-29%;Medio;44;$126,26;2228,83;;70;30;40;50;110;90;50;70;40;50;50;40;50
el mejor abogado laboral de argentina;50;0%;-43%;Alto;89;$259,22;616,97;;70;30;30;40;50;70;50;50;50;40;40;50;40
discos de la espalda;50;40%;40%;Bajo;1;;;;50;20;50;50;70;70;40;70;50;30;50;40;70
discos cervicales;50;0%;40%;Bajo;0;;;;50;30;50;30;50;50;70;30;40;70;70;70;70
disco espalda;50;0%;-44%;Bajo;0;;;;90;70;40;70;70;50;50;40;40;50;50;50;50
disco de la espalda;50;40%;40%;Bajo;1;;;;50;20;50;50;70;70;40;70;50;30;50;40;70
despido con causa y sin causa;50;150%;-44%;Bajo;29;$70,46;195,23;;90;50;10;20;20;20;20;30;20;10;20;30;50
despido con causa preaviso;50;-20%;-56%;Bajo;19;$75,03;273,46;;90;50;40;50;70;50;50;70;50;70;50;50;40
despedido del trabajo;50;0%;-57%;Bajo;3;;;;70;70;40;40;50;70;70;50;40;50;30;30;30
contrato laboral por 3 meses;50;-50%;-86%;Bajo;11;$10,76;55,75;;70;70;50;50;70;50;50;50;20;30;20;30;10
consulta juridica;50;-43%;0%;Medio;62;$160,40;561,59;;40;30;30;50;50;70;70;30;50;70;70;50;40
consulta de abogados;50;0%;-29%;Medio;58;$132,74;484,45;;70;40;70;50;50;70;70;40;50;50;50;50;50
cobertura art;50;40%;40%;Medio;64;$121,14;664,36;;50;40;50;40;70;50;70;50;50;70;50;70;70
causas de despido;50;0%;-56%;Medio;34;$4,09;157,68;;90;40;30;50;40;50;50;40;40;40;40;50;40
calculadora juicio laboral;50;-40%;-25%;Medio;43;$56,30;131,51;;40;30;30;50;50;70;90;90;50;50;50;50;30
calculadora indemnizaciones laborales;50;25%;0%;Bajo;27;$40,84;92,98;;50;50;50;70;70;90;90;70;30;40;40;30;50
calculadora de despido argentina;50;0%;150%;Medio;58;$56,27;172,81;;20;50;50;50;50;50;40;50;50;50;50;50;50
baremo accidentes de trabajo;50;0%;40%;Bajo;21;$50,97;121,39;;50;50;70;40;40;50;90;50;70;70;70;90;70
asesoramiento laboral gratuito;50;67%;-29%;Alto;85;$142,95;578,74;;70;70;70;70;50;50;50;30;50;40;30;30;50
art procedimiento;50;0%;0%;Medio;36;$60,06;129,87;;40;30;70;50;50;40;70;50;50;40;40;50;40
art muerte del trabajador;50;0%;0%;Bajo;15;$38,05;2042,14;;40;30;30;50;40;50;40;40;20;30;40;50;40
art denuncia;50;0%;0%;Medio;57;$68,61;236,59;;50;40;50;70;50;50;70;70;70;50;50;70;50
art de trabajo;50;0%;-44%;Medio;61;$133,60;580,63;;90;50;50;40;50;50;50;40;50;50;50;50;50
art cubre tendinitis;50;-60%;-71%;Medio;52;$53,06;210,39;;70;30;20;30;30;20;20;30;30;40;50;30;20
art cuanto tiempo cubre;50;0%;-20%;Medio;58;$66,49;172,79;;50;50;70;40;50;50;40;40;50;30;40;30;40
art cuanto paga;50;-40%;-25%;Medio;58;$40,91;199,36;;40;40;50;90;50;50;40;70;30;40;50;50;30
accidente laboral sin art;50;0%;-80%;Alto;71;;;;50;40;40;50;30;20;40;30;10;10;10;10;10
accidente laboral in itinere;50;75%;0%;Medio;35;$48,06;207,46;;70;30;50;30;50;50;110;70;50;50;40;50;70
accidente in itinere indemnización argentina;50;-33%;-71%;Alto;79;$66,86;610,47;;70;50;50;50;50;50;70;50;30;40;30;30;20
accidente de trabajo argentina;50;75%;-22%;Medio;52;$61,13;122,19;;90;40;20;30;50;70;90;50;30;50;40;50;70
abombamiento de los discos intervertebrales;50;40%;40%;Bajo;15;$19,74;50,53;;50;50;50;50;50;90;50;50;70;70;50;90;70
abogados siniestros automotores;50;75%;75%;Alto;84;$425,86;3211,34;;40;70;90;50;70;70;50;50;70;90;40;50;70
abogados seguros;50;0%;-29%;Alto;71;$217,86;917,98;;70;70;90;50;90;50;70;90;50;70;50;50;50
abogados especialistas en accidentes de tránsito;50;0%;-60%;Alto;86;$262,20;1097,32;;50;40;40;40;40;20;40;20;30;30;20;30;20
abogados especialistas en accidentes de trafico;50;0%;-60%;Alto;86;$262,20;1097,32;;50;40;40;40;40;20;40;20;30;30;20;30;20
abogados de trabajo laboral;50;-40%;0%;Alto;74;$352,86;1314,57;;30;50;90;30;70;70;50;70;70;30;50;40;30
abogados de argentina;50;33%;-20%;Medio;48;$144,88;366,79;;50;30;30;50;50;40;50;50;50;30;30;40;40
abogados de accidentes de trabajo;50;67%;67%;Medio;54;$398,26;2221,36;;30;50;90;40;40;70;70;50;30;40;30;30;50
abogados accidentes de tránsito capital federal;50;-67%;-25%;Alto;84;$688,31;2691,72;;40;40;50;50;70;70;70;50;70;140;90;50;30
abogado seguro;50;0%;-29%;Alto;71;$217,86;917,98;;70;70;90;50;90;50;70;90;50;70;50;50;50
abogado laboral consulta gratis;50;33%;-20%;Alto;83;$245,06;1071,3;;50;50;30;30;50;50;40;30;50;50;30;30;40
abogado accidente de trabajo;50;0%;-67%;Medio;57;$257,10;2111,2;;90;20;30;50;50;70;30;30;30;30;30;40;30
abogado accidente;50;-20%;33%;Medio;63;$519,66;1220,33;;30;90;110;70;50;90;50;70;40;70;50;40;40
abandono de tratamiento art;50;33%;-20%;Bajo;13;$79,81;245,06;;50;50;40;50;50;40;50;30;50;40;30;40;40
indemnizacion accidente laboral;40;0%;-40%;Medio;67;$61,65;281,38;Y;50;20;40;50;70;70;40;20;30;40;30;30;30
valor de los dedos en accidentes laborales en argentina;40;0%;-86%;Alto;70;$58,28;296,33;;70;50;140;140;10;10;10;10;10;10;10;10;10
tibia rota;40;-20%;0%;Bajo;1;;;;40;40;20;30;30;40;30;30;40;30;50;30;40
;40;-50%;0%;Medio;52;$61,26;198,06;;20;30;50;50;50;40;40;40;50;40;40;30;20
;40;-40%;-25%;Medio;52;$66,39;235,3;;40;30;40;40;50;40;50;50;50;50;50;30;30
si tengo un accidente fuera del trabajo quien me paga;40;0%;67%;Medio;59;$64,94;221,97;;30;40;30;30;50;40;50;50;30;50;50;50;50
;40;0%;-60%;Alto;83;$209,87;733,3;;50;40;40;40;40;30;30;20;40;30;20;30;20
protrusión de disco;40;-25%;0%;Bajo;13;$11,06;46,4;;30;30;30;30;50;50;50;50;50;50;40;50;30
procedimiento ante las comisiones medicas;40;0%;-20%;Bajo;0;;;;50;30;50;40;40;50;50;30;50;40;40;40;40
procedimiento ante comisiones médicas;40;0%;-40%;Bajo;0;;;;50;30;40;40;40;40;40;10;20;20;30;20;30
prevencion accidentes de trabajo;40;67%;-29%;Bajo;29;$71,47;508,47;;70;30;10;30;30;70;50;30;30;30;30;40;50
prestaciones en especie art;40;75%;75%;Bajo;4;$76,80;2042,14;;40;30;20;20;40;70;50;70;30;40;40;70;70
porque se producen las hernias de disco;40;67%;67%;Bajo;16;$16,49;45,59;;30;30;40;50;40;30;30;40;40;50;30;40;50
indemnización de art;40;0%;33%;Alto;70;$43,56;257,59;Y;30;30;40;40;50;70;50;40;40;40;40;30;40
pólizas de seguros de autos;40;33%;33%;Alto;74;$581,66;2475,21;;30;30;40;40;50;70;50;30;30;30;30;30;40
pago por despido;40;0%;0%;Medio;49;$30,63;269,21;;40;40;40;30;50;50;20;50;40;40;40;40;40
pago de art por accidente;40;0%;-33%;Medio;64;$56,44;292,69;;30;40;40;30;30;50;50;30;20;40;20;20;20
motivo de despido justificado;40;0%;-20%;Medio;42;$3,64;102,34;;50;50;40;40;40;50;50;40;30;20;40;30;40
me despiden;40;67%;67%;Medio;41;$73,69;393,92;;30;50;50;40;50;50;50;30;30;20;30;30;50
logos jurídicos;40;0%;-25%;Bajo;21;$54,06;125,11;;40;10;40;30;50;50;50;30;20;50;30;30;30
la art cubre lumbalgia;40;-29%;67%;Medio;52;$41,35;183,79;;30;10;10;20;70;70;50;90;40;90;70;70;50
abogados del trabajador;40;75%;0%;Bajo;29;$443,71;1559,42;Y;70;40;40;90;70;50;30;30;50;40;40;30;70
l5 y s1;40;33%;0%;Bajo;4;;;;40;30;40;40;40;50;40;40;40;40;30;50;40
juicio art cuanto tarda;40;0%;0%;Medio;43;$61,18;130,18;;20;20;50;30;40;50;30;30;30;30;20;30;20
infortunio laboral;40;-40%;-40%;Bajo;18;$66,79;134,95;;50;40;10;30;20;30;50;70;10;20;50;30;30
indemnización por protusión discal argentina;40;-50%;-67%;Alto;80;$81,69;705,08;;30;10;10;20;10;10;10;10;20;10;20;10;10
indemnizacion por enfermedad laboral;40;-33%;-33%;Alto;71;$49,43;104,73;;30;30;50;70;40;70;50;40;20;40;30;30;20
indemnizacion por accidente art;40;-25%;-57%;Alto;74;$66,18;339,3;;70;20;10;20;30;10;10;20;30;50;40;20;30
indemnización laboral por despido;40;-25%;-25%;Medio;47;$14,31;163,37;;40;50;50;40;30;40;40;40;30;50;40;40;30
hernia discal como se cura;40;33%;-20%;Bajo;29;$19,23;58,69;;50;30;40;30;40;20;50;40;50;40;30;50;40
hernia de cadera;40;0%;0%;Bajo;8;;;;30;30;30;40;30;30;40;40;50;40;30;40;30
herencias y sucesiones;40;-50%;-60%;Medio;62;$38,66;318,88;;50;20;40;40;50;30;30;40;30;30;40;30;20
formula indemnizacion art;40;0%;-40%;Medio;52;$41,15;286,02;;50;40;30;50;30;50;50;20;30;40;30;40;30
estudios juridicos mas importantes de argentina;40;0%;75%;Medio;56;$71,47;184,27;;40;30;50;70;30;40;20;30;10;90;70;70;70
estudios de abogados laborales;40;133%;250%;Medio;34;$228,91;1224,39;;20;10;70;50;90;50;70;40;70;20;30;50;70
estudio legal;40;0%;0%;Bajo;27;$92,59;265,48;;50;30;20;40;20;40;50;40;30;50;50;40;50
estudio juridico art;40;0%;0%;Medio;48;$154,28;504,44;;50;40;30;40;30;50;50;10;40;40;50;50;50
estudio de abogados laborales;40;133%;250%;Medio;34;$228,91;1224,39;;20;10;70;50;90;50;70;40;70;20;30;50;70
empresa de abogados;40;25%;-29%;Alto;74;$160,60;531,35;;70;20;20;30;30;50;40;40;30;70;40;50;50
discos rotos;40;0%;0%;Bajo;0;;;;30;30;50;30;50;50;40;50;50;30;30;30;30
discos c5 c6;40;-25%;50%;Bajo;1;;;;20;30;260;20;30;40;30;20;40;40;40;30;30
disco cervical;40;75%;133%;Bajo;1;;;;30;30;30;30;30;40;70;30;30;50;40;40;70
determinacion de incapacidad;40;0%;-60%;Bajo;11;;;;50;30;30;50;50;40;40;40;50;40;20;30;20
despido justificado argentina;40;33%;33%;Medio;61;$50,61;173,58;;30;30;40;40;70;40;40;30;30;30;30;20;40
despido indirecto indemnizaciones;40;67%;0%;Medio;46;$50,27;199,11;;50;30;20;10;40;30;40;30;30;30;30;30;50
despido de trabajo;40;0%;-57%;Medio;34;$76,51;331,56;;70;50;30;40;90;70;70;40;40;40;30;40;30
consultas laboral;40;33%;-20%;Medio;59;$188,64;632,16;;50;40;50;70;50;40;50;40;40;20;30;30;40
consultar abogado online;40;50%;-25%;Alto;76;$165,13;1095,95;;40;40;40;30;90;50;40;40;30;50;20;30;30
