Keyword MarinPistacchia;;;;;;;
1 de julio de 2023 - 30 de junio de 2024;;;;;;;
;;;;;;;
Keyword;Avg. monthly searches;Cambio en los últimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range)
si me accidento en el trabajo;50;0%;0%;Desconocido;;;
hernia discal lumbar síntomas;50;0%;0%;Bajo;16;2.38;41.44
marin pistachia abogados;50;0%;0%;Medio;56;276.88;1948.26
operacion de discos lumbares;50;0%;0%;Medio;39;23.83;252.38
operacion de hernia en la columna;50;0%;0%;Bajo;18;;
accidente de transito indemnizacion;50;0%;0%;Medio;41;42.63;279.72
hernia l5 s1 tratamiento;50;0%;0%;Bajo;22;13.74;122.02
dolor hernia lumbar;50;0%;0%;Bajo;27;18.70;91.20
2 hernias de disco;50;0%;0%;Bajo;6;;
2 hernias discales;50;0%;0%;Desconocido;;;
3 hernias de disco;50;0%;0%;Bajo;29;;
4 hernias discales;50;0%;-100%;Desconocido;;;
5 hernias discales;50;0%;-100%;Desconocido;;;
a que se considera accidente de trabajo;50;0%;0%;Bajo;18;67.09;343.30
a que se debe la hernia de disco;50;0%;0%;Bajo;10;;
abandono de tratamiento art;50;0%;0%;Bajo;26;59.60;222.08
abombamiento c5 c6;50;0%;0%;Bajo;13;;
abombamiento cervical;50;0%;0%;Bajo;13;14.35;41.46
abombamiento de disco;50;0%;0%;Bajo;8;;
abombamiento de los discos intervertebrales;50;0%;0%;Bajo;13;14.59;41.46
abombamiento discal cervical;50;0%;0%;Bajo;10;;
abombamiento discal l4 l5 y l5 s1;50;0%;0%;Bajo;13;;
abombamiento discal lumbar;50;0%;0%;Bajo;10;41.40;41.47
abombamiento discal que es;50;0%;0%;Bajo;11;11.34;41.45
abombamiento l5 s1;50;0%;0%;Bajo;11;;
abombamiento posterior del disco l5 s1;50;0%;0%;Bajo;16;;
abombamiento posteromedial del disco l4 l5;50;0%;0%;Bajo;14;41.28;41.61
abombamiento posteromedial del disco l5 s1;50;0%;0%;Bajo;14;;
abombamiento vertebral;50;0%;0%;Bajo;9;11.69;41.28
abombamientos discales l3 l4 l4 l5 y l5 s1;50;0%;0%;Bajo;14;;
abultamiento discal;50;0%;0%;Bajo;12;10.17;41.68
accidente art;50;0%;0%;Medio;45;67.08;418.41
accidente de itinere;50;0%;0%;Bajo;7;;
accidente de laboral;50;0%;0%;Bajo;10;;
accidente de trabajo argentina;50;0%;0%;Bajo;32;67.27;310.98
accidente de trabajo cobro;50;0%;0%;Desconocido;;;
accidente de trabajo como se paga;50;0%;0%;Bajo;21;;
accidente de trabajo incapacidad;50;0%;0%;Medio;57;;
accidente de trabajo itinere;50;0%;0%;Bajo;21;;
accidente de trabajo se paga al 100;50;0%;0%;Desconocido;;;
accidente de trabajo y enfermedad de trabajo;50;0%;0%;Desconocido;;;
accidente en comision;50;0%;0%;Bajo;6;;
accidente en in itinere;50;0%;0%;Bajo;9;;
accidente in;50;0%;0%;Bajo;6;;
accidente in itinere excepciones;50;0%;0%;Bajo;17;50.43;1376.84
accidente in itinere indemnización argentina;50;0%;0%;Medio;61;67.63;460.60
accidente in itinere jurisprudencia argentina;50;0%;0%;Medio;39;;
accidente in itinere quien paga;50;0%;0%;Desconocido;;;
accidente itinere laboral;50;0%;0%;Bajo;16;;
accidente laboral art indemnización;50;0%;0%;Medio;46;47.01;327.47
accidente laboral de camino al trabajo;50;0%;0%;Desconocido;;;
accidente laboral derechos;50;0%;0%;Medio;43;;
accidente laboral es;50;0%;0%;Bajo;0;;
accidente laboral indemnización secuelas;50;0%;0%;Desconocido;;;
accidente laboral itinere;50;0%;0%;Bajo;16;;
accidente laboral perdida de dedos;50;0%;0%;Bajo;29;;
accidente laboral que se cobra;50;0%;0%;Desconocido;;;
accidente laboral sin art;50;0%;0%;Bajo;29;67.08;340.57
accidente no laboral ejemplos;50;0%;-100%;Desconocido;;;
accidente por riesgo de trabajo;50;0%;∞;Bajo;21;;
accidente riesgo de trabajo;50;0%;0%;Bajo;23;66.66;393.24
accidente sin incapacidad;50;0%;-100%;Desconocido;;;
accidente trabajador;50;0%;0%;Bajo;29;50.68;142.47
accidente trabajo cuanto se cobra;50;0%;0%;Desconocido;;;
accidente trabajo in itinere;50;0%;0%;Medio;52;;
accidente valor de cada dedo;50;0%;-100%;Desconocido;;;
accidente y enfermedad de trabajo;50;0%;0%;Bajo;20;39.66;175.00
accidente y enfermedad profesional;50;0%;0%;Bajo;10;;
accidente yendo al trabajo art;50;0%;0%;Bajo;33;35.10;153.60
accidentes in itinere ejemplos argentina;50;0%;0%;Bajo;27;35.98;291.65
alta medica art;50;0%;0%;Bajo;18;49.98;169.59
alta médica art disconformidad;50;0%;0%;Bajo;19;66.70;93.48
amputacion de dedo por accidente laboral;50;0%;0%;Desconocido;;;
amputacion de mano;50;0%;0%;Bajo;3;;
amputacion falange distal;50;0%;0%;Bajo;1;;
amputacion parcial de falange distal;50;0%;0%;Bajo;0;;
amputación de dedo;50;0%;0%;Bajo;3;41.14;41.75
amputación de dedo de la mano;50;0%;0%;Bajo;7;;
amputación de dedo pulgar;50;0%;0%;Bajo;4;;
amputación de dedos de la mano;50;0%;-90%;Bajo;2;41.45;103.21
amputación de falange;50;0%;0%;Bajo;0;;
amputación de falange distal;50;0%;0%;Bajo;7;28.04;104.20
amputación dedo mano;50;0%;0%;Bajo;6;;
amputación dedo meñique mano;50;0%;0%;Bajo;9;;
amputación falange distal dedo pulgar;50;0%;0%;Bajo;3;;
amputación falange distal dedo índice;50;0%;0%;Bajo;0;;
art aseguradora de riesgo de trabajo ley;50;0%;0%;Bajo;22;;
art calculadora;50;0%;0%;Medio;41;38.80;274.72
art cobertura;50;0%;0%;Medio;38;55.13;293.99
art como se paga;50;0%;0%;Medio;35;36.22;219.59
art cuando cubre;50;0%;0%;Medio;40;35.91;195.40
art cuanto paga;50;0%;0%;Medio;37;36.22;205.57
art cuanto tiempo cubre;50;0%;0%;Medio;35;67.35;340.57
art cubre hernia de disco;50;0%;0%;Bajo;26;;
art cubre tendinitis;50;0%;0%;Medio;54;54.02;225.44
art de trabajo;50;0%;0%;Medio;38;65.59;314.10
art denuncia accidente trabajo;50;0%;0%;Medio;50;59.08;204.75
art denuncia de accidente;50;0%;0%;Bajo;29;21.53;158.87
art discapacidad;50;0%;0%;Medio;38;39.35;173.39
art hernia de disco;50;0%;0%;Medio;42;32.95;145.54
art in itinere;50;0%;0%;Bajo;24;38.90;170.66
art incapacidad;50;0%;0%;Bajo;33;24.00;111.00
art indemnización por esguince de tobillo argentina;50;0%;0%;Medio;51;68.47;282.97
art muerte del trabajador;50;0%;0%;Bajo;17;41.21;100.20
art paga por accidente;50;0%;0%;Medio;44;65.53;204.00
art paga sueldo empleado;50;0%;0%;Bajo;12;;
art pago de sueldo;50;0%;0%;Bajo;20;;
art pago por accidente laboral;50;0%;0%;Medio;36;44.33;168.34
art porcentaje;50;0%;0%;Bajo;29;49.99;201.24
art procedimiento;50;0%;0%;Bajo;28;42.78;203.72
art provincia indemnizaciones;50;0%;0%;Medio;38;38.05;198.99
art que hacer en caso de accidente;50;0%;0%;Medio;41;66.72;306.47
art quien paga el sueldo;50;0%;0%;Bajo;19;;
art rechazo de siniestro;50;0%;0%;Medio;48;27.62;200.20
art riesgo de trabajo;50;0%;0%;Medio;34;51.08;213.27
baja por accidente de trabajo;50;0%;-100%;Desconocido;;;
baja por accidente in itinere;50;0%;0%;Desconocido;;;
baja por hernia cervical;50;0%;0%;Desconocido;;;
baja por hernia discal;50;0%;0%;Desconocido;;;
baja por protusion discal;50;0%;0%;Desconocido;;;
baremo accidentes de trabajo;50;0%;0%;Bajo;23;58.83;310.81
baremo accidentes de transito;50;0%;0%;Bajo;20;55.47;202.27
baremo calculadora;50;0%;0%;Bajo;31;;
baremo de incapacidad;50;0%;0%;Bajo;10;25.73;69.18
baremo incapacidad;50;0%;0%;Bajo;10;36.24;1093.66
baremo incapacidad laboral;50;0%;0%;Bajo;18;36.53;67.85
baremo secuelas accidente laboral;50;0%;0%;Desconocido;;;
c5 c6 hernia;50;0%;0%;Bajo;12;14.53;48.15
calculador de incapacidad;50;0%;0%;Bajo;22;35.43;394.79
calculador indemnizaciones despido;50;0%;0%;Medio;43;53.48;681.80
calculadora accidente;50;0%;0%;Bajo;19;;
calculadora baremo;50;0%;0%;Bajo;27;21.49;85.40
calculadora de art seguro y riesgos;50;0%;0%;Medio;35;69.34;343.30
calculadora de despido argentina;50;0%;0%;Medio;35;32.87;565.72
calculadora de indemnizacion accidente laboral;50;0%;0%;Medio;36;;
calculadora de indemnizacion seguros y riesgos;50;0%;0%;Bajo;9;;
calculadora de indemnizaciones por accidente de trabajo;50;0%;0%;Bajo;14;;
calculadora de indemnización por fallecimiento;50;0%;0%;Bajo;18;;
calculadora de indemnización por incapacidad;50;0%;0%;Medio;37;31.09;252.17
calculadora de juicio laboral;50;0%;0%;Bajo;32;31.88;168.26
calculadora de porcentaje de incapacidad;50;0%;0%;Medio;34;31.02;157.69
calculadora incapacidad;50;0%;-90%;Bajo;28;28.86;134.98
calculadora indemnizacion accidente laboral;50;0%;-90%;Bajo;32;40.03;272.91
calculadora indemnizacion seguros y riesgos;50;0%;0%;Bajo;20;;
calculadora indemnizaciones laborales;50;0%;0%;Bajo;26;31.88;518.33
calculadora indemnización lesiones accidente;50;0%;0%;Desconocido;;;
calculadora juicio laboral;50;0%;0%;Bajo;29;28.74;570.13
calculadora lrt;50;0%;0%;Bajo;18;33.61;155.24
calculadora marin pistachia;50;0%;0%;Bajo;20;18.80;1060.73
calculadora online indemnizacion por despido;50;0%;0%;Bajo;26;18.70;677.75
calculadora para indemnización;50;0%;0%;Bajo;25;31.22;599.74
calculadora por accidente de trabajo;50;0%;0%;Medio;37;36.71;245.34
calculadora por indemnización por despido;50;0%;0%;Medio;37;33.13;226.19
calculadora srt;50;0%;0%;Bajo;29;29.00;76.62
calcular discapacidad art;50;0%;0%;Medio;44;36.12;197.32
calcular incapacidad por accidente de transito;50;0%;0%;Bajo;31;;
calcular indemnización art 2021;50;0%;0%;Desconocido;;;
calcular indemnización por accidente de tránsito;50;0%;-90%;Bajo;30;69.39;512.75
calcular indemnización por incapacidad;50;0%;0%;Medio;34;35.88;338.61
calcular porcentaje art;50;0%;0%;Medio;34;32.90;76.70
calcular porcentaje de art;50;0%;0%;Medio;47;36.22;109.17
calcular porcentaje de discapacidad;50;0%;0%;Bajo;14;32.48;36.53
calcular porcentaje de incapacidad art;50;0%;0%;Medio;34;24.89;140.43
calcular porcentaje incapacidad;50;0%;0%;Bajo;29;31.79;112.58
calcular puntos de incapacidad;50;0%;0%;Bajo;19;;
calculo baremo accidentes;50;0%;0%;Medio;43;;
calculo de indemnizacion por enfermedad profesional;50;0%;0%;Medio;54;36.13;338.61
calculo de indemnizacion por incapacidad;50;0%;0%;Medio;38;42.55;241.82
calculo de ripte;50;0%;0%;Bajo;22;17.16;50.05
calculo incapacidad accidente de transito;50;0%;0%;Bajo;20;;
calculo indemnizacion incapacidad permanente parcial;50;0%;0%;Bajo;16;;
calculo indemnizacion por incapacidad laboral permanente parcial;50;0%;0%;Bajo;30;;
calculo indemnizacion por muerte del trabajador;50;0%;0%;Bajo;21;;
calculo por incapacidad laboral;50;0%;0%;Medio;37;36.00;108.16
calculo por indemnizacion por despido;50;0%;0%;Medio;37;33.13;226.19
carta documento art;50;0%;0%;Bajo;27;68.13;149.77
carta documento de art;50;0%;0%;Bajo;29;;
causa de hernia de disco;50;0%;0%;Bajo;7;;
causa de hernia discal;50;0%;0%;Bajo;29;;
causa hernia discal;50;0%;0%;Bajo;7;10.60;41.46
causas de hernia cervical;50;0%;0%;Bajo;7;;
causas de hernia de disco cervical;50;0%;0%;Bajo;23;10.09;41.04
causas de hernia discal lumbar;50;0%;0%;Bajo;19;13.17;41.28
causas de hernia en la columna;50;0%;0%;Desconocido;;;
causas de hernia lumbar;50;0%;0%;Bajo;9;;
causas de una hernia discal;50;0%;0%;Bajo;7;;
causas hernia cervical;50;0%;0%;Bajo;15;10.16;41.68
causas hernia lumbar;50;0%;-100%;Desconocido;;;
cirugia de columna hernia discal;50;0%;0%;Medio;57;;
cirugia de columna por hernia discal;50;0%;0%;Bajo;0;;
cirugia de disco lumbar;50;0%;0%;Bajo;17;28.41;308.47
cirugia de discos herniados;50;0%;-100%;Desconocido;;;
cirugia de discos lumbares;50;0%;0%;Bajo;17;28.41;308.47
cirugia de fractura de perone;50;0%;0%;Bajo;9;;
cirugia de fractura de tibia y perone;50;0%;0%;Bajo;24;;
cirugia de hernia cervical;50;0%;0%;Bajo;24;14.15;355.92
cirugia de hernia de disco cervical;50;0%;0%;Bajo;24;15.36;271.08
cirugia de hernia de disco lumbar l4 l5;50;0%;0%;Bajo;29;22.01;336.51
cirugia de hernias en la columna vertebral;50;0%;0%;Desconocido;;;
cirugia de perone;50;0%;0%;Bajo;6;52.36;114.84
cirugia de perone y tibia;50;0%;∞;Bajo;0;;
cirugia de tibia;50;0%;0%;Bajo;5;;
cirugia de tibia y perone;50;0%;0%;Bajo;6;5.29;103.95
cirugia disco lumbar;50;0%;0%;Medio;43;;
cirugia fractura de tibia y perone;50;0%;0%;Bajo;14;;
cirugia hernia discal cervical;50;0%;0%;Bajo;26;106.89;713.22
cirugia hernia discal l4 l5;50;0%;0%;Bajo;30;13.18;355.19
cirugia hernia discal l5 s1;50;0%;0%;Bajo;23;32.00;271.08
cirugia hernia l5 s1;50;0%;0%;Bajo;29;;
cirugia hernia lumbar l4 l5;50;0%;0%;Medio;43;;
cirugia l4 l5;50;0%;-100%;Desconocido;;;
cirugia l5 s1;50;0%;0%;Bajo;24;;
cirugia para hernia de disco;50;0%;0%;Medio;36;;
cirugia perone;50;0%;0%;Bajo;2;;
cirugia protusion discal;50;0%;0%;Bajo;26;;
cirugia tibia;50;0%;0%;Bajo;11;;
cirugia tibia y perone;50;0%;0%;Bajo;7;;
cirugía de hernia discal precio;50;0%;0%;Medio;61;50.74;607.59
cirugía de peroné;50;0%;0%;Bajo;6;52.36;114.84
cirugía de tibia con placa;50;0%;0%;Bajo;11;;
cirugía de tibia y peroné precio;50;0%;0%;Desconocido;;;
cirugía hernia discal lumbar;50;0%;0%;Medio;35;17.40;316.14
cirugía por hernia discal;50;0%;0%;Bajo;14;;
cobertura art;50;0%;0%;Medio;46;70.91;392.13
cobertura de art;50;0%;0%;Medio;43;85.88;431.49
cobro accidente laboral;50;0%;0%;Desconocido;;;
cobro por accidente laboral;50;0%;0%;Medio;49;35.89;393.17
columna con hernia discal;50;0%;0%;Bajo;11;;
columna discal;50;0%;-100%;Desconocido;;;
columna disco desviado;50;0%;0%;Bajo;0;;
columna l5 s1;50;0%;0%;Bajo;5;;
columna lumbar hernia;50;0%;0%;Bajo;10;11.50;41.40
columna lumbar l5 s1;50;0%;0%;Bajo;6;;
columna vertebral con hernia discal;50;0%;0%;Bajo;4;;
columna vertebral discos;50;0%;-90%;Bajo;3;14.52;62.42
columna vertebral enfermedades laborales;50;0%;-100%;Desconocido;;;
columna vertebral hernia de disco;50;0%;0%;Bajo;12;12.19;41.75
comisiones medicas ley;50;0%;0%;Bajo;2;;
comisiones medicas procedimiento;50;0%;0%;Bajo;7;;
compensacion por accidente de trabajo;50;0%;0%;Bajo;19;;
con hernia discal se puede hacer ejercicio;50;0%;∞;Bajo;0;;
consecuencias de hernias cervicales;50;0%;0%;Bajo;14;;
consecuencias de las hernias discales;50;0%;0%;Medio;57;;
corte falange dedo;50;0%;0%;Bajo;0;;
cura de hernia discal;50;0%;0%;Bajo;21;18.63;60.84
cura hernia discal;50;0%;0%;Bajo;14;;
cura para hernia de disco;50;0%;0%;Medio;54;41.46;167.72
cuál es el dedo más caro;50;0%;0%;Bajo;0;;
cuál es la tibia y cuál es el peroné;50;0%;0%;Bajo;0;;
cuál es la tibia y peroné;50;0%;0%;Bajo;1;;
cuáles son los discos de la columna;50;0%;0%;Bajo;0;;
cuáles son los síntomas de hernia de disco;50;0%;0%;Bajo;12;10.04;22.67
cuáles son los síntomas de hernia discal;50;0%;∞;Bajo;2;;
cuáles son los síntomas de la hernia de disco;50;0%;0%;Bajo;18;10.04;29.35
cuáles son los síntomas de una hernia cervical;50;0%;0%;Bajo;0;;
cuáles son los síntomas de una hernia de disco;50;0%;0%;Bajo;19;;
cálculo de indemnización por muerte del trabajador argentina;50;0%;-100%;Desconocido;;;
daño en disco de la columna;50;0%;∞;Bajo;14;;
daño en los discos de la columna;50;0%;0%;Bajo;0;;
de que salen las hernias discales;50;0%;0%;Bajo;0;;
de que viene la hernia de disco;50;0%;0%;Bajo;19;10.00;41.62
dedo gordo mano;50;0%;0%;Bajo;0;;
dedo indice amputado;50;0%;0%;Bajo;0;;
dedo mas caro de la mano;50;0%;0%;Bajo;0;;
dedo meñique amputado;50;0%;0%;Bajo;0;;
dedo pulgar amputado;50;0%;0%;Bajo;0;;
dedos amputados de la mano;50;0%;-90%;Bajo;2;41.45;103.21
dedos de la mano cortados;50;0%;0%;Bajo;1;;
dedos protesis;50;0%;0%;Bajo;7;;
demanda a art por enfermedad profesional;50;0%;0%;Medio;41;72.77;468.24
demanda a la art;50;0%;0%;Medio;48;46.25;158.32
demanda de riesgo de trabajo;50;0%;-100%;Desconocido;;;
demanda por enfermedad profesional;50;0%;0%;Medio;44;45.93;128.65
demanda por riesgo de trabajo;50;0%;0%;Desconocido;;;
denuncia a la art;50;0%;0%;Medio;41;53.36;254.90
denuncia de accidente laboral;50;0%;0%;Bajo;23;58.87;168.01
denuncia enfermedad profesional art;50;0%;0%;Bajo;30;105.56;472.61
denuncia enfermedad profesional art modelo;50;0%;0%;Bajo;14;;
denuncia por enfermedad profesional;50;0%;0%;Alto;68;64.82;221.63
desgarro de disco lumbar;50;0%;0%;Bajo;21;;
desgarro discal;50;0%;0%;Bajo;4;;
desgarro disco lumbar;50;0%;0%;Bajo;12;;
desgaste de disco de la columna;50;0%;0%;Bajo;25;;
desgaste de disco lumbar;50;0%;0%;Bajo;9;18.70;78.53
desgaste de discos en la columna;50;0%;0%;Bajo;21;;
desgaste del disco de la columna;50;0%;0%;Bajo;6;;
desgaste disco lumbar;50;0%;0%;Bajo;8;;
despido después de accidente laboral argentina;50;0%;0%;Medio;59;144.60;338.56
despido por accidente de trabajo;50;0%;0%;Bajo;32;;
despido por accidente laboral;50;0%;0%;Bajo;16;;
desplazamiento de disco;50;0%;0%;Bajo;2;;
desplazamiento de disco cervical;50;0%;0%;Bajo;14;;
desplazamiento de disco intervertebral;50;0%;0%;Bajo;10;;
desplazamiento de disco lumbar;50;0%;0%;Bajo;14;18.70;70.43
desplazamiento de disco lumbar tratamiento;50;0%;0%;Bajo;30;;
desplazamiento de perone;50;0%;0%;Bajo;0;;
desplazamiento de tibia y perone;50;0%;0%;Bajo;3;;
desplazamiento disco intervertebral;50;0%;0%;Desconocido;;;
desplazamiento disco intervertebral lumbar sin mielopatía;50;0%;0%;Desconocido;;;
desplazamiento disco lumbar sin mielopatia;50;0%;0%;Desconocido;;;
desplazamiento perone tobillo;50;0%;0%;Bajo;5;;
desviación de disco lumbar;50;0%;-100%;Desconocido;;;
desvio de disco en la columna;50;0%;0%;Bajo;14;;
determinacion de incapacidad;50;0%;0%;Bajo;22;22.92;81.37
determinación de la incapacidad srt;50;0%;0%;Medio;33;;
diagnostico de fractura de tibia y perone;50;0%;-100%;Desconocido;;;
diagnostico hernia de disco;50;0%;0%;Bajo;16;15.73;59.97
diagnostico hernia discal;50;0%;0%;Bajo;16;;
diagnostico hernia lumbar;50;0%;0%;Desconocido;;;
diagnóstico de hernia discal;50;0%;0%;Bajo;14;;
dictamen comision medica por incapacidad laboral;50;0%;0%;Bajo;18;;
dictamen comisión médica;50;0%;0%;Bajo;0;;
dictamen medico art;50;0%;0%;Bajo;12;46.44;179.36
dictamen srt;50;0%;0%;Bajo;8;;
diferencia entre abombamiento y hernia discal;50;0%;0%;Bajo;3;;
diferencia entre alta médica y fin de tratamiento;50;0%;-90%;Bajo;0;;
diferencia entre hernia discal y protusion;50;0%;0%;Bajo;5;;
diferencia entre hernia y protusión discal;50;0%;0%;Bajo;10;10.09;14.18
diferencia entre lumbalgia y hernia de disco;50;0%;0%;Bajo;8;;
diferencia entre pinzamiento y hernia discal;50;0%;0%;Bajo;13;18.70;41.75
diferencia entre protusión discal y hernia discal;50;0%;0%;Bajo;9;;
diferencia entre protusión y hernia;50;0%;0%;Bajo;2;;
diferencia entre protusión y hernia discal;50;0%;0%;Bajo;10;;
diferencia protusion y hernia discal;50;0%;0%;Bajo;14;;
discal l4 l5;50;0%;∞;Bajo;0;;
discal l5 s1;50;0%;0%;Bajo;5;;
discal lumbar;50;0%;0%;Bajo;0;;
discales;50;0%;0%;Bajo;3;;
discapacidad hernia discal;50;0%;0%;Bajo;17;;
discapacidad por accidente laboral;50;0%;0%;Medio;34;;
discapacidad por fractura de fémur;50;0%;∞;Bajo;14;;
discapacidad por hernia cervical;50;0%;-100%;Desconocido;;;
discapacidad por hernia discal;50;0%;0%;Bajo;20;41.28;132.21
discapacidad por problemas de columna argentina;50;0%;0%;Bajo;24;37.45;149.30
discapacidad por un dedo;50;0%;∞;Bajo;14;;
disco 5 y 6 de la columna;50;0%;0%;Bajo;0;;
disco cervical;50;0%;0%;Bajo;7;10.00;89.81
disco cervical dañado;50;0%;0%;Bajo;14;;
disco cervical inflamado;50;0%;0%;Bajo;0;;
disco columna dañado;50;0%;∞;Bajo;0;;
disco con hernia;50;0%;∞;Bajo;24;;
disco dañado de la columna;50;0%;0%;Bajo;10;;
disco de columna vertebral;50;0%;-90%;Bajo;3;;
disco de espalda;50;0%;0%;Bajo;6;;
disco de hernia en la columna;50;0%;0%;Bajo;18;12.19;41.62
disco de la cadera;50;0%;0%;Bajo;0;;
disco de la espalda;50;0%;0%;Bajo;0;;
disco del cuello;50;0%;∞;Bajo;0;;
disco desviado;50;0%;0%;Bajo;0;;
disco desviado en la columna;50;0%;∞;Bajo;14;;
disco discal;50;0%;-100%;Desconocido;;;
disco dorsal;50;0%;0%;Bajo;0;;
disco en la columna vertebral;50;0%;-90%;Bajo;3;14.52;62.42
disco en la espalda;50;0%;0%;Bajo;1;;
disco espalda;50;0%;0%;Bajo;3;;
disco espinal;50;0%;0%;Bajo;0;;
disco extruido;50;0%;0%;Bajo;5;;
disco gastado columna lumbar;50;0%;0%;Bajo;14;18.70;122.15
disco gastado de la columna;50;0%;0%;Bajo;12;11.36;33.28
disco hernia;50;0%;0%;Bajo;7;;
disco herniado cervical;50;0%;0%;Bajo;4;;
disco herniado en el cuello;50;0%;-100%;Desconocido;;;
disco herniado l5 s1;50;0%;0%;Bajo;14;;
disco herniado lumbar;50;0%;0%;Bajo;19;;
disco herniado sintomas;50;0%;∞;Bajo;19;;
disco inflamado;50;0%;0%;Bajo;17;9.35;41.02
disco l4;50;0%;0%;Bajo;0;;
disco l4 y l5;50;0%;0%;Bajo;4;;
disco l4 y l5 hernia discal;50;0%;0%;Bajo;14;;
disco l5;50;0%;0%;Bajo;0;;
disco l5 s1 columna vertebral;50;0%;∞;Bajo;6;;
disco l5 s1 protusión;50;0%;0%;Bajo;7;13.42;41.26
disco lumbar dañado;50;0%;0%;Bajo;23;22.72;122.15
disco lumbar inflamado;50;0%;0%;Bajo;20;;
disco vertebral inflamado;50;0%;0%;Bajo;29;;
discopatia hernia discal;50;0%;0%;Bajo;21;;
discopatia y hernia es lo mismo;50;0%;0%;Bajo;1;;
discos 4 y 5 de la columna vertebral;50;0%;0%;Bajo;4;;
discos c5 c6;50;0%;0%;Bajo;2;;
discos cervicales;50;0%;0%;Bajo;0;;
discos columna vertebral l4 l5;50;0%;0%;Alto;71;;
discos dañados de la columna vertebral;50;0%;-100%;Desconocido;;;
discos de cadera;50;0%;0%;Bajo;0;;
discos de la cintura;50;0%;0%;Bajo;3;;
discos de la columna dañados;50;0%;0%;Bajo;10;;
discos de la columna inflamados tratamiento;50;0%;0%;Desconocido;;;
discos de la espalda;50;0%;0%;Bajo;0;;
discos de la espalda baja;50;0%;0%;Bajo;3;;
discos de las vertebras;50;0%;0%;Bajo;1;;
discos desviados;50;0%;0%;Bajo;0;;
discos herniados en el cuello;50;0%;0%;Desconocido;;;
discos herniados en la columna;50;0%;0%;Desconocido;;;
discos herniados en la espalda baja;50;0%;0%;Desconocido;;;
discos herniados espalda baja;50;0%;0%;Desconocido;;;
discos l3 y l4;50;0%;0%;Bajo;0;;
discos rotos;50;0%;0%;Bajo;0;;
discos rotos de la columna;50;0%;0%;Bajo;14;12.85;41.62
discos vertebrales lumbares;50;0%;0%;Bajo;7;;
divergencia en la determinación de la incapacidad plazo;50;0%;0%;Bajo;24;49.15;91.00
doble fractura de tibia y perone;50;0%;0%;Bajo;5;;
doble hernia de disco;50;0%;0%;Bajo;16;15.78;56.03
dolor agudo hernia discal;50;0%;0%;Bajo;22;;
dolor de brazo por hernia cervical;50;0%;0%;Bajo;25;;
dolor de cadera por hernia discal;50;0%;0%;Bajo;23;;
dolor de columna por hernia discal;50;0%;0%;Bajo;14;;
dolor de cuello por hernia cervical;50;0%;-100%;Desconocido;;;
dolor de disco;50;0%;0%;Bajo;13;7.81;23.03
dolor de discos en la espalda;50;0%;0%;Bajo;19;6.26;18.70
dolor de espalda hernia;50;0%;0%;Medio;43;;
dolor de espalda hernia discal tratamiento;50;0%;0%;Bajo;29;;
dolor de espalda por hernia;50;0%;0%;Desconocido;;;
dolor de espalda por hernia discal;50;0%;-100%;Desconocido;;;
dolor de hernia lumbar;50;0%;0%;Bajo;29;14.48;41.74
dolor de pierna por hernia discal;50;0%;0%;Bajo;13;;
dolor de piernas por hernia lumbar;50;0%;0%;Bajo;20;;
dolor de rodilla por hernia discal;50;0%;0%;Bajo;31;;
dolor de una hernia discal;50;0%;0%;Bajo;21;6.52;41.44
dolor discal;50;0%;0%;Bajo;6;;
dolor discal lumbar;50;0%;0%;Bajo;16;18.70;50.17
dolor en disco lumbar;50;0%;0%;Bajo;32;;
dolor en discos de la columna;50;0%;0%;Bajo;29;;
dolor en l5 s1;50;0%;0%;Medio;38;;
dolor en la pierna por hernia discal;50;0%;0%;Bajo;26;;
dolor en los discos;50;0%;0%;Bajo;13;;
dolor en los discos de la columna;50;0%;∞;Bajo;20;7.90;18.70
dolor en pierna por hernia discal;50;0%;0%;Bajo;19;;
dolor en un disco de la columna;50;0%;0%;Bajo;0;;
dolor espalda hernia;50;0%;0%;Bajo;0;;
dolor hernia cervical;50;0%;0%;Bajo;17;9.84;75.20
dolor hernia discal lumbar;50;0%;0%;Bajo;24;;
dolor hernia discal lumbar tratamiento;50;0%;0%;Desconocido;;;
dolor hernia dorsal;50;0%;-100%;Desconocido;;;
dolor hernia espalda;50;0%;0%;Bajo;0;;
dolor hernia l4 l5;50;0%;0%;Bajo;0;;
dolor hernia l5 s1;50;0%;0%;Bajo;14;;
dolor intenso hernia discal;50;0%;0%;Bajo;21;;
dolor l4 l5;50;0%;0%;Medio;33;;
dolor l5 s1;50;0%;0%;Bajo;16;24.60;56.79
dolor lumbar l4 l5;50;0%;0%;Bajo;29;;
dolor lumbar l5 s1;50;0%;0%;Bajo;14;;
dolor lumbar por hernia discal;50;0%;0%;Bajo;25;36.12;118.77
dolor pierna hernia discal;50;0%;0%;Medio;36;;
dolor por hernia cervical;50;0%;0%;Medio;43;;
dolor por hernia de disco;50;0%;0%;Bajo;18;11.90;37.68
dolor por hernia discal;50;0%;0%;Medio;39;;
dolor por hernias discales;50;0%;∞;Bajo;14;;
dolor protusion discal;50;0%;0%;Bajo;14;;
duracion operacion hernia discal;50;0%;-100%;Desconocido;;;
