Keyword research CALCULADORA DESPIDO;;;;;;;;;;;;;;;;;;;;;;;;
1 de marzo de 2024 - 28 de febrero de 2025;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Keyword;Avg. monthly searches;Cambio en los œltimos tres meses;Cambio interanual;Competition;Competition (indexed value);Top of page bid (low range);Top of page bid (high range);Ad impression share;Organic impression share;Organic average position;In account?;In plan?;Searches: Mar 2024;Searches: Apr 2024;Searches: May 2024;Searches: Jun 2024;Searches: Jul 2024;Searches: Aug 2024;Searches: Sep 2024;Searches: Oct 2024;Searches: Nov 2024;Searches: Dec 2024;Searches: Jan 2025;Searches: Feb 2025
ganancias indemnizaci—n por despido;20;-50%;0%;Bajo;27;;;;;;;;20;20;10;20;20;20;20;10;20;20;10;10
indemnizacion 245 lct;20;-67%;-50%;Bajo;26;;;;;;;;30;30;30;20;30;20;20;30;30;30;10;10
indemnizacion agravada art 182 lct;20;0%;0%;Bajo;23;;;;;;;;20;40;20;40;20;20;10;20;20;10;10;10
indemnizacion art 245 calculo;20;0%;-50%;Medio;41;42.92;284.41;;;;;;20;30;20;10;20;10;20;10;20;10;20;10
indemnizacion art 245 lct;20;0%;0%;Bajo;15;;;;;;;;20;20;20;30;20;10;20;20;20;20;10;20
indemnizacion art calculo;20;0%;0%;Medio;37;33.99;104.83;;;;;;30;20;20;20;20;10;10;10;20;20;10;20
indemnizacion con justa causa;20;-50%;-50%;Medio;34;3.49;148.34;;;;;;20;10;20;20;10;10;10;10;10;20;10;10
indemnizacion despido empleada domestica;20;50%;50%;Bajo;26;38.99;128.48;;;;;;20;20;30;20;10;30;20;20;20;20;30;30
indemnizacion despido servicio domestico;20;100%;0%;Medio;41;4.08;158.75;;;;;;20;30;20;30;20;10;10;20;10;10;20;20
indemnizacion embarazada;20;-50%;-50%;Bajo;4;;;;;;;;20;30;30;30;20;20;30;20;20;20;10;10
indemnizacion empleada domestica calculo;20;50%;0%;Bajo;27;3.59;176.49;;;;;;40;30;10;10;10;10;10;20;20;20;20;30
indemnizacion empleada domestica por fallecimiento empleador;20;0%;-50%;Bajo;11;;;;;;;;10;20;20;10;10;20;20;20;10;10;10;10
indemnizacion empleadas casas particulares;20;-50%;0%;Bajo;18;;;;;;;;10;20;10;10;20;30;20;20;20;20;10;10
indemnizacion lct;20;0%;-50%;Bajo;10;;;;;;;;30;30;30;20;20;20;30;20;20;10;10;10
indemnizacion personal de casas particulares;20;-50%;0%;Bajo;15;;;;;;;;10;10;10;10;10;20;20;20;20;20;10;10
indemnizacion por;20;0%;0%;Medio;41;48.51;198.35;;;;;;20;20;20;40;10;30;20;30;20;20;20;20
indemnizacion por antiguedad argentina;20;0%;0%;Medio;50;48.17;306.97;;;;;;20;20;40;30;20;30;30;20;20;20;20;20
indemnizacion por antiguedad art 245 lct;20;-50%;-50%;Medio;37;68.99;142.60;;;;;;20;30;50;10;10;30;20;10;10;20;20;10
indemnizacion por antiguedad como se calcula;20;0%;100%;Bajo;13;;;;;;;;10;20;10;40;20;20;10;20;20;20;20;20
indemnizacion por antiguedad empleada domestica;20;100%;-33%;Bajo;12;;;;;;;;30;20;10;10;10;10;10;20;10;10;20;20
indemnizacion por despido empleada de casas particulares;20;-75%;0%;Medio;38;;;;;;;;20;20;10;10;20;20;10;20;20;40;30;10
indemnizacion por despido empleada domestica calculo;20;0%;-75%;Medio;46;;;;;;;;20;40;70;50;50;10;10;10;10;10;10;10
indemnizacion por despido es remunerativo;20;0%;-50%;Bajo;6;;;;;;;;20;30;30;30;20;20;10;20;10;10;10;10
indemnizacion por despido sin preaviso;20;0%;-33%;Medio;51;44.80;256.10;;;;;;30;20;30;20;20;20;30;20;20;20;20;20
indemnizacion por enfermedad;20;100%;0%;Medio;39;42.15;129.60;;;;;;20;10;20;20;20;10;30;10;20;10;20;20
indemnizacion por fin de contrato;20;200%;200%;Medio;49;76.18;291.27;;;;;;30;40;30;20;20;30;10;20;10;10;20;30
indemnizacion por liquidacion;20;0%;-50%;Medio;60;107.06;264.68;;;;;;30;30;20;10;30;10;10;10;20;10;10;10
indemnizacion por mutuo acuerdo;20;100%;-33%;Bajo;29;39.64;197.18;;;;;;30;30;40;30;10;20;20;20;20;10;20;20
indemnizacion por preaviso calculo;20;-50%;-50%;Bajo;10;;;;;;;;40;30;30;20;20;20;30;30;30;20;10;10
indemnizacion preaviso lct;20;0%;-67%;Bajo;13;;;;;;;;40;30;20;20;10;10;10;10;10;10;10;10
indemnizacion preaviso periodo de prueba;20;0%;100%;Bajo;24;30.27;106.31;;;;;;30;10;10;20;20;10;20;10;20;20;30;20
indemnizacion servicio domestico calculo;20;100%;0%;Bajo;24;32.49;170.08;;;;;;20;30;20;10;20;10;10;10;10;10;10;20
indemnizacion tarifada;20;-50%;0%;Bajo;9;;;;;;;;20;30;20;40;20;20;30;20;50;20;10;10
indemnizacion trabajador;20;0%;-50%;Bajo;32;3.29;188.27;;;;;;20;30;20;20;10;20;10;20;10;10;10;10
indemnizaci—n al trabajador;20;0%;-50%;Bajo;32;3.29;188.27;;;;;;20;30;20;20;10;20;10;20;10;10;10;10
indemnizaci—n art 2 ley 25.323;20;100%;0%;Bajo;11;;;;;;;;20;20;20;20;10;20;20;10;10;10;10;20
indemnizaci—n por antiguedad art 245;20;0%;-50%;Bajo;15;;;;;;;;10;20;20;20;20;10;20;30;10;10;20;10
indemnizaci—n por antigŸedad calculo;20;0%;100%;Medio;41;3.98;268.08;;;;;;10;10;20;10;20;20;20;10;10;20;10;20
indemnizaci—n por despido antiguedad;20;0%;-50%;Medio;40;102.81;244.88;;;;;;20;20;20;10;20;10;20;10;10;10;10;10
indemnizaci—n por despido argentina calculadora;20;50%;200%;Medio;60;64.36;233.44;;;;;;10;20;10;10;10;10;10;20;10;20;20;30
indemnizaci—n por despido con justa causa;20;0%;0%;Medio;36;21.13;230.72;;;;;;20;10;30;20;10;10;10;10;10;10;10;10
indemnizaci—n por despido empleadas domesticas;20;0%;-50%;Bajo;27;;;;;;;;20;10;10;20;40;20;20;10;30;10;10;10
indemnizaci—n por despido lct;20;0%;-50%;Bajo;30;98.17;202.31;;;;;;20;20;30;20;10;20;10;20;10;10;10;10
indemnizaci—n por despido nueva reforma laboral;20;0%;0%;Medio;59;6.97;183.47;;;;;;10;40;30;20;10;10;30;30;10;10;10;10
indemnizaci—n por despido preaviso;20;100%;0%;Medio;36;38.08;167.92;;;;;;30;20;20;20;20;20;10;20;20;10;10;20
indemnizaci—n por despido que es;20;100%;100%;Bajo;27;86.00;238.25;;;;;;10;30;40;30;20;30;30;20;30;10;10;20
indemnizaci—n por fuerza mayor;20;100%;0%;Bajo;14;;;;;;;;20;30;40;10;20;10;10;20;20;10;20;20
indemnizaci—n por un a–o de trabajo;20;-50%;-50%;Alto;70;84.82;213.87;;;;;;30;20;20;20;20;20;20;10;10;20;20;10
indemnizan por despido;20;50%;-67%;Medio;50;51.84;267.01;;;;;;50;20;20;10;20;10;10;10;10;20;20;30
la indemnizacion por antiguedad es remunerativa;20;0%;0%;Bajo;10;2.14;168.90;;;;;;30;30;30;20;20;20;20;10;20;20;10;20
la liquidacion final por despido lleva descuentos;20;0%;200%;Medio;66;84.67;259.73;;;;;;10;20;30;20;10;20;20;20;10;30;20;30
las indemnizaciones por despido son embargables;20;-50%;-50%;Bajo;19;63.36;185.94;;;;;;20;30;40;40;20;30;30;20;20;20;10;10
lct indemnizacion;20;0%;-50%;Bajo;10;;;;;;;;30;40;30;30;20;30;20;10;20;10;10;10
ley 25.323 art 2 c‡lculo;20;40%;600%;Bajo;17;89.54;214.41;;;;;;10;10;10;10;10;10;10;10;50;50;30;70
ley 26844 indemnizacion por despido;20;300%;100%;Bajo;27;38.31;193.98;;;;;;20;20;30;30;20;20;10;10;10;10;20;40
ley de contrato de trabajo indemnizacion por despido sin causa;20;0%;0%;Medio;39;54.70;269.77;;;;;;10;20;20;20;20;10;10;10;20;20;20;20
ley de contrato de trabajo indemnizaci—n por despido;20;-50%;-50%;Medio;47;6.26;113.21;;;;;;30;20;10;10;20;20;20;20;10;20;10;10
ley laboral indemnizacion por despido;20;0%;0%;Alto;68;72.40;185.34;;;;;;10;20;20;10;10;10;10;10;20;10;30;10
liquidacion de sueldos renuncia;20;0%;-25%;Medio;44;49.76;234.03;;;;;;20;30;30;30;20;20;30;20;20;30;20;30
liquidacion en periodo de prueba;20;50%;50%;Bajo;25;11.24;147.70;;;;;;10;40;40;30;20;20;20;20;20;20;20;30
liquidacion final empleada domestica despido;20;-50%;-67%;Bajo;27;;;;;;;;30;30;30;20;20;10;20;10;10;20;10;10
liquidacion final por despido en periodo de prueba;20;100%;33%;Medio;36;14.11;166.61;;;;;;20;20;30;30;20;30;20;20;20;20;30;40
liquidacion final por despido ignacio online;20;50%;-25%;Bajo;16;55.12;171.30;;;;;;30;30;20;30;20;20;30;20;20;20;20;30
liquidacion final por despido periodo de prueba;20;100%;33%;Medio;47;30.27;190.19;;;;;;10;20;20;10;20;20;20;20;30;20;40;40
liquidacion final por despido sin causa ignacio online;20;-50%;-50%;Bajo;14;;;;;;;;30;30;30;20;20;10;20;20;20;20;20;10
liquidacion final sin causa;20;50%;200%;Bajo;18;56.33;117.77;;;;;;30;20;30;20;20;20;20;20;10;20;10;30
liquidacion indemnizacion despido;20;-50%;-75%;Medio;43;65.45;157.38;;;;;;30;50;10;20;10;10;10;20;10;20;40;10
liquidacion por despido empleada domestica;20;50%;0%;Medio;45;21.22;141.79;;;;;;30;20;30;20;20;20;20;30;20;20;20;30
liquidacion por despido en periodo de prueba;20;0%;200%;Medio;46;35.47;192.71;;;;;;30;20;20;20;20;10;20;20;20;30;40;30
liquidacion por despido ignacio online;20;0%;0%;Bajo;25;47.94;124.37;;;;;;20;20;30;10;20;10;10;10;20;30;10;30
liquidaci—n de sueldos despido;20;0%;-67%;Medio;52;144.10;304.94;;;;;;20;20;40;20;40;30;20;20;10;10;20;10
liquidaci—n final por despido calculadora;20;0%;-67%;Medio;36;;;;;;;;10;10;20;20;20;20;20;20;20;10;10;10
liquidaci—n trabajo;20;100%;0%;Medio;35;61.96;154.39;;;;;;20;20;20;20;20;10;20;10;10;10;20;20
proporcional de aguinaldo por 4 meses;20;-80%;°;Medio;61;;;;;;;;10;10;10;30;30;10;10;10;30;50;10;10
reforma indemnizacion por despido;20;0%;-100%;Desconocido;;;;;;;;;10;170;10;10;10;10;20;10;10;0;10;0
si renuncias te corresponde indemnizacion;20;250%;600%;Medio;56;8.82;230.37;;;;;;10;10;10;10;20;30;20;20;30;20;40;70
si renuncias te dan liquidacion;20;100%;-60%;Medio;62;83.74;212.09;;;;;;20;20;30;40;50;10;20;20;10;10;10;20
si te echan del trabajo cuanto te corresponde;20;-50%;-67%;Alto;76;69.54;149.81;;;;;;20;20;20;20;30;30;20;10;20;20;10;10
si te echan que te tienen que pagar;20;300%;300%;Alto;73;60.66;210.51;;;;;;10;10;10;10;10;20;40;20;10;10;20;40
simulacion indemnizacion despido;20;50%;50%;Bajo;29;65.12;271.31;;;;;;20;10;20;10;10;20;10;20;20;20;20;30
simulador de despido de trabajo;20;-33%;-33%;Medio;44;63.39;234.98;;;;;;20;20;10;10;10;10;10;10;50;30;30;20
simulador de indemnizacion por renuncia;20;100%;-33%;Bajo;32;33.40;102.23;;;;;;30;50;20;20;30;10;20;30;20;10;30;20
simulador de indemnizaci—n por despido argentina;20;-50%;-50%;Medio;56;50.97;225.15;;;;;;20;10;20;70;20;10;10;10;30;40;10;20
simulador liquidacion por despido;20;-50%;-67%;Medio;46;108.72;215.89;;;;;;40;30;40;20;10;30;40;20;10;20;10;10
simulador liquidaci—n por despido;20;-50%;-67%;Medio;46;108.72;215.89;;;;;;40;30;40;20;10;30;40;20;10;20;10;10
simulador por despido;20;100%;100%;Medio;49;78.18;169.60;;;;;;30;20;20;20;30;20;20;10;10;20;30;40
tipos de indemnizaciones laborales;20;0%;100%;Bajo;17;3.47;78.08;;;;;;10;10;10;30;20;20;10;20;30;20;10;20
tope indemnizacion por antiguedad;20;0%;-50%;Bajo;0;;;;;;;;20;30;40;10;10;20;20;20;20;10;20;10
vacaciones proporcionales despido;20;0%;-50%;Bajo;3;;;;;;;;30;40;40;40;30;20;10;10;10;10;10;10
calcular finiquito por despido;10;0%;0%;Alto;86;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
simulador de finiquito;10;0%;0%;Alto;71;;;;;;;;0;10;10;10;10;10;10;10;10;10;10;10
cuanto me toca de finiquito;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;10;0;0;0;0;0;0;0
cuanto me corresponde de finiquito;10;0%;0%;Alto;86;;;;;;;;10;10;0;10;0;10;10;10;10;10;10;10
calculo de finiquito por despido;10;0%;0%;Bajo;24;;;;;;;;10;10;10;10;10;10;10;0;10;10;10;10
indemnizaci—n por despido 2022;10;0%;°;Bajo;0;;;;;;;;10;0;10;10;0;0;10;10;0;10;10;10
cuanto me toca de liquidacion;10;-100%;-100%;Desconocido;;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;0
simulador finiquito;10;0%;0%;Medio;39;;;;;;;;0;10;10;10;10;0;10;10;10;10;10;10
como saber cuanto me toca de finiquito;10;0%;0%;Desconocido;;;;;;;;;10;10;0;10;0;0;0;0;0;0;0;0
simulador c‡lculo de finiquito;10;-100%;0%;Desconocido;;;;;;;;;0;0;10;0;0;10;0;0;0;10;0;0
despido injustificado calculadora;10;0%;0%;Medio;52;51.62;164.66;;;;;;10;10;10;10;20;10;10;20;10;10;10;10
compensaci—n por despido injustificado;10;0%;0%;Alto;71;;;;;;;;10;10;0;10;10;0;10;0;0;10;0;10
indemnizaci—n por despido en estados unidos;10;0%;0%;Alto;81;;;;;;;;10;20;10;10;10;10;10;10;10;10;10;10
cuanto me toca si me despiden;10;0%;0%;Alto;69;110.48;402.45;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
calcular finiquito despido;10;°;0%;Medio;43;;;;;;;;0;10;0;0;10;0;10;0;10;0;10;10
finiquito y liquidaci—n;10;0%;0%;Bajo;27;71.33;165.05;;;;;;10;10;10;10;10;10;10;20;10;10;10;10
calculadora de finiquito por despido injustificado;10;0%;°;Bajo;29;;;;;;;;0;10;10;10;0;10;0;10;10;10;10;10
despido objetivo indemnizaci—n;10;0%;0%;Bajo;0;;;;;;;;10;10;10;10;10;10;0;0;10;10;10;10
que hacer cuando te despiden del trabajo;10;0%;0%;Alto;74;116.54;195.55;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
cuanto me toca por despido injustificado;10;0%;-100%;Desconocido;;;;;;;;;0;0;0;0;0;10;0;0;0;0;10;0
cuanto me toca de liquidaci—n por 1 a–o;10;0%;0%;Medio;65;100.94;357.07;;;;;;10;20;10;20;10;10;10;10;10;10;10;10
calcular indemnizaci—n por despido 2022 argentina;10;0%;0%;Bajo;0;;;;;;;;10;10;10;10;0;10;10;10;10;10;0;10
calculadora de indemnizaci—n 2022;10;0%;0%;Bajo;0;;;;;;;;10;10;10;0;0;10;10;10;10;10;10;10
cuanto finiquito me corresponde;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;0;0;10;0
calcula tu despido;10;0%;0%;Medio;41;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
calcular mi finiquito por despido;10;0%;0%;Desconocido;;;;;;;;;0;10;0;0;10;0;10;0;0;0;10;0
c‡lculo de liquidaci—n por despido injustificado;10;0%;0%;Medio;57;;;;;;;;10;10;0;0;10;10;10;10;10;10;10;10
calcular finiquito por despido injustificado;10;0%;°;Bajo;0;;;;;;;;0;0;10;10;10;10;10;10;0;10;10;10
indemnizaci—n por despido 2022 argentina;10;°;0%;Bajo;14;;;;;;;;10;10;10;10;0;10;0;10;10;0;10;10
despido injustificado cuanto me toca;10;-100%;0%;Desconocido;;;;;;;;;10;10;0;10;0;0;0;0;0;10;0;0
como saber cuanto me corresponde de finiquito;10;0%;0%;Bajo;0;;;;;;;;0;0;0;0;0;10;10;10;0;10;0;10
liquidaci—n por despido justificado;10;0%;-50%;Bajo;22;;;;;;;;10;20;10;20;10;20;10;10;10;10;10;10
indemnizaci—n por despido objetivo;10;0%;0%;Bajo;0;;;;;;;;10;10;10;10;10;10;10;10;10;10;0;10
si me despiden que me deben pagar;10;°;°;Medio;51;;;;;;;;10;10;10;10;10;0;10;0;10;0;0;10
finiquito por despido calculadora;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;0;10;0;0
cuanto me corresponde por despido injustificado;10;0%;0%;Medio;43;;;;;;;;20;10;10;10;10;10;10;10;10;10;10;10
calcular finiquito por renuncia voluntaria;10;0%;0%;Bajo;14;;;;;;;;10;10;10;10;10;0;10;10;0;10;0;10
finiquito laboral calculadora;10;-100%;0%;Desconocido;;;;;;;;;10;10;10;10;10;0;0;10;10;10;10;0
indemnizaci—n por tŽrmino de contrato;10;°;0%;Medio;57;;;;;;;;10;10;10;10;0;10;0;10;10;0;10;10
como saber cuanto finiquito me corresponde;10;-100%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;10;0;10;0;0
simulador de finiquito por despido;10;0%;-100%;Desconocido;;;;;;;;;0;0;0;0;10;0;0;10;0;0;0;0
si me despiden con justa causa a que tengo derecho;10;100%;100%;Medio;61;17.01;182.99;;;;;;20;10;20;10;10;30;20;10;10;10;10;20
calcular finiquito fin de contrato;10;0%;0%;Desconocido;;;;;;;;;0;10;10;10;10;10;0;10;0;0;0;0
indemnizaci—n despido por no apto reconocimiento mŽdico;10;0%;0%;Desconocido;;;;;;;;;10;0;0;10;0;0;0;0;0;0;10;0
calcular mi liquidaci—n por despido;10;0%;0%;Alto;75;92.98;220.14;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
pago por despido injustificado;10;0%;-50%;Medio;48;64.24;256.88;;;;;;30;10;20;20;10;10;10;10;10;10;20;10
derecho a indemnizaci—n por despido;10;0%;0%;Bajo;29;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
finiquito y liquidaci—n calculadora;10;0%;-100%;Desconocido;;;;;;;;;0;0;0;10;0;10;0;10;10;0;0;0
como saber cuanto te toca de finiquito;10;°;°;Bajo;0;;;;;;;;0;10;0;10;0;0;0;10;0;0;0;10
cuanto me pertenece de finiquito;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;10;0;0;0;0
cuanto me toca si me despiden injustificadamente;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;10;0;0;0;0;10;0
cuanto corresponde de liquidaci—n;10;0%;0%;Medio;43;;;;;;;;10;10;10;10;10;20;10;10;10;10;20;10
indemnizaciones por tutela laboral;10;0%;0%;Bajo;0;;;;;;;;0;10;0;0;0;0;10;10;0;10;0;10
me han despedido;10;0%;0%;Desconocido;;;;;;;;;10;10;0;0;0;10;10;10;0;0;0;0
calcular mi despido;10;0%;0%;Medio;52;;;;;;;;10;10;10;0;10;10;10;10;10;10;10;10
accidente laboral y despido;10;0%;0%;Bajo;24;;;;;;;;10;10;10;10;10;10;10;10;10;10;0;10
simulador de finiquito gratis;10;0%;-100%;Desconocido;;;;;;;;;10;0;10;10;10;0;0;10;0;0;0;0
compensacion por despido;10;0%;0%;Medio;49;90.80;187.05;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
cuanto me toca si me despiden calculadora;10;0%;0%;Desconocido;;;;;;;;;0;0;0;10;0;0;0;10;0;0;10;0
calcula tu indemnizaci—n despido;10;0%;-100%;Desconocido;;;;;;;;;10;10;10;10;10;10;10;10;10;0;10;0
cuanto me toca por despido;10;-100%;-100%;Desconocido;;;;;;;;;10;10;0;0;10;10;10;0;10;10;0;0
calcular finiquito por autodespido;10;0%;-100%;Desconocido;;;;;;;;;10;0;10;0;0;10;10;0;0;0;0;0
cuanto me toca de indemnizacion por despido;10;0%;0%;Medio;48;;;;;;;;20;10;10;10;10;10;10;10;10;10;10;10
como saber cuanto te toca de liquidaci—n;10;0%;0%;Medio;50;;;;;;;;10;10;10;10;0;10;10;10;0;10;10;10
indemnizacion por a–o trabajado;10;0%;0%;Medio;48;40.32;96.36;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
calcula tu finiquito por despido;10;0%;°;Bajo;0;;;;;;;;0;10;10;10;10;10;10;0;0;10;0;10
si me liquidan cuanto me toca;10;0%;°;Alto;71;;;;;;;;0;0;10;0;0;0;0;0;0;10;0;10
12 d’as por a–o trabajado;10;0%;°;Bajo;14;;;;;;;;0;10;0;0;0;0;0;0;0;10;0;10
22 dias por a–o trabajado;10;0%;0%;Desconocido;;;;;;;;;0;0;0;10;0;0;0;0;0;0;0;0
245 lct laboral;10;200%;200%;Bajo;17;57.22;125.94;;;;;;10;10;10;10;10;10;10;10;10;10;10;30
25323 art 1 calculo;10;0%;0%;Bajo;10;;;;;;;;10;30;10;30;10;10;10;20;20;10;0;10
3 meses de indemnizacion;10;°;°;Medio;43;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;10
3 meses de indemnizacion por despido;10;0%;-100%;Desconocido;;;;;;;;;0;0;0;0;10;0;0;10;10;0;0;0
3 meses de salario por indemnizaci—n;10;°;°;Medio;57;;;;;;;;10;10;10;0;0;0;0;0;0;0;0;10
3 meses de sueldo por despido;10;-100%;0%;Desconocido;;;;;;;;;0;10;0;0;0;0;0;0;0;10;0;0
3 meses de trabajo liquidacion;10;0%;0%;Medio;64;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
30 dias por a–o trabajado;10;0%;0%;Desconocido;;;;;;;;;0;10;0;0;0;0;0;0;0;0;0;0
a cuanto asciende la indemnizacion por despido;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;10;0;10;0
a cuanto corresponde una liquidacion laboral;10;°;0%;Medio;57;;;;;;;;10;10;10;10;0;10;0;10;0;0;0;10
a cuanto equivale el aguinaldo por ley;10;-100%;0%;Desconocido;;;;;;;;;0;10;10;10;10;0;0;10;10;10;0;0
a cuanto equivale la indemnizacion por despido;10;-100%;-100%;Desconocido;;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;0
a cuanto equivale la indemnizacion por despido sin justa causa;10;0%;°;Bajo;29;;;;;;;;0;0;10;10;0;10;0;10;10;10;10;10
a cuanto equivale una indemnizacion laboral;10;0%;0%;Desconocido;;;;;;;;;0;0;10;10;10;0;10;0;0;0;0;0
a cuanto equivale una indemnizacion por despido sin justa causa;10;0%;0%;Bajo;19;;;;;;;;10;10;10;10;0;10;0;10;10;10;10;10
a cuanto equivale una indemnizaci—n;10;0%;0%;Medio;59;5.26;128.90;;;;;;10;0;0;10;10;10;10;10;10;10;10;10
a quien le corresponde la doble indemnizacion;10;0%;°;Medio;57;;;;;;;;10;10;0;10;10;0;0;10;10;10;10;10
a quien le corresponde la doble indemnizacion por despido;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;0;0;0;10;0
acuerdo de finiquito;10;0%;0%;Bajo;0;;;;;;;;10;0;10;0;10;10;10;10;10;10;10;10
acuerdo de indemnizaci—n laboral;10;-50%;0%;Bajo;21;;;;;;;;10;20;10;10;10;10;10;0;10;20;10;10
acuerdo indemnizacion por despido;10;0%;0%;Medio;37;;;;;;;;10;10;20;10;10;10;20;10;10;10;10;10
aguinaldo cuanto me corresponde;10;-86%;°;Alto;76;;;;;;;;0;10;10;40;10;10;10;0;10;70;10;10
aguinaldo por despido;10;0%;0%;Bajo;31;;;;;;;;0;10;10;10;10;10;10;10;10;10;10;10
aguinaldo por renuncia voluntaria;10;0%;0%;Desconocido;;;;;;;;;0;0;10;10;0;0;0;10;10;0;0;0
aguinaldo proporcional por despido;10;0%;0%;Bajo;18;;;;;;;;10;20;20;20;10;10;20;10;10;10;10;10
aguinaldo sobre indemnizacion por antiguedad;10;0%;0%;Bajo;6;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
al cuanto tiempo te toca aguinaldo;10;0%;0%;Desconocido;;;;;;;;;0;0;10;0;0;0;0;0;0;0;0;0
antiguedad despido;10;0%;0%;Bajo;24;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
antiguedad indemnizacion por despido;10;100%;100%;Bajo;23;110.07;197.38;;;;;;10;10;10;10;10;10;10;10;10;10;20;20
antiguedad por despido;10;0%;0%;Bajo;19;;;;;;;;10;10;20;10;10;10;10;10;10;10;10;10
antigŸedad a efectos de indemnizaci—n por despido;10;0%;-100%;Desconocido;;;;;;;;;0;0;0;0;0;0;0;10;0;0;0;0
aplicacion calculo indemnizacion despido;10;0%;0%;Desconocido;;;;;;;;;0;10;0;0;0;10;0;0;0;0;0;0
aplicacion para calcular indemnizacion por despido;10;0%;0%;Medio;45;37.07;87.35;;;;;;10;10;10;0;10;10;10;10;10;10;10;10
argentina indemnizacion por despido;10;0%;0%;Alto;69;48.53;264.03;;;;;;10;20;10;10;10;10;10;10;10;10;10;10
art 1 ley 25.323 c‡lculo;10;0%;-50%;Medio;37;;;;;;;;30;30;10;10;10;20;10;10;10;10;10;10
art 2 ley 25.323 calculo;10;0%;0%;Bajo;21;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
art 247 lct preaviso;10;0%;0%;Bajo;29;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
baja voluntaria indemnizacion;10;°;°;Medio;57;;;;;;;;0;0;0;0;0;0;0;10;0;0;0;10
baja voluntaria y finiquito;10;-100%;-100%;Desconocido;;;;;;;;;10;0;10;10;10;0;10;10;10;10;0;0
base calculo despido;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;0;0;10;0;0;0;0;0
base calculo indemnizacion;10;°;0%;Bajo;29;;;;;;;;0;0;10;10;10;10;10;10;0;0;10;10
base calculo indemnizacion despido;10;0%;0%;Bajo;25;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
base de calculo de indemnizacion por despido;10;0%;0%;Medio;50;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
base de calculo indemnizacion por despido;10;300%;100%;Bajo;21;37.90;109.26;;;;;;10;10;20;10;10;10;10;20;10;10;20;40
base de calculo para indemnizacion por despido;10;0%;0%;Bajo;32;;;;;;;;10;10;20;10;20;30;10;10;10;10;10;10
base de calculo para la indemnizacion por antiguedad;10;0%;0%;Bajo;29;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
base de c‡lculo indemnizaci—n por antigŸedad;10;0%;°;Alto;86;;;;;;;;10;0;10;20;0;10;10;10;10;10;10;10
base de indemnizacion;10;0%;0%;Medio;50;;;;;;;;0;10;10;0;0;10;10;10;10;10;10;10
base indemnizacion;10;-100%;0%;Desconocido;;;;;;;;;0;10;0;0;0;10;0;10;10;10;0;0
base indemnizacion despido;10;0%;0%;Alto;86;;;;;;;;0;0;10;0;10;10;0;10;0;10;0;10
base liquidacion indemnizacion;10;0%;0%;Desconocido;;;;;;;;;0;0;0;0;10;0;0;0;0;0;0;0
base para calcular indemnizacion por despido;10;°;°;Bajo;14;;;;;;;;10;10;10;10;10;0;10;0;10;0;10;10
base para calcular la indemnizaci—n por despido injustificado;10;0%;-100%;Desconocido;;;;;;;;;10;10;10;0;10;10;10;10;0;0;0;0
base para calculo de indemnizacion por despido;10;°;0%;Bajo;0;;;;;;;;0;10;0;10;0;10;10;10;10;0;0;10
base para el calculo de indemnizacion por despido;10;0%;°;Bajo;21;;;;;;;;10;10;10;10;10;10;10;10;10;10;10;10
base para el calculo de la indemnizacion por despido;10;0%;°;Bajo;31;;;;;;;;10;10;0;0;0;0;10;0;0;10;10;10
base para indemnizacion;10;0%;°;Bajo;0;;;;;;;;10;0;0;10;0;0;10;10;10;10;0;10
base para liquidar indemnizacion;10;0%;0%;Desconocido;;;;;;;;;0;0;0;10;0;0;0;0;0;0;0;0
